Rank,Company,Ticker Symbol,Industry,Website,City,State,Zip Code,Number of Employees,,Annual Rev (in millions),Rank 2020,Rev % change from 2020,"Profit $USD
(in millions)",Profit % change from 2020,"Assets $USD
(in millions)","Stockholder's Equity $USD
(in millions)",Market Value 3/31/22 $USD (in millions),Profits as % of Sales,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share 2021,EPS % change from 2020,5-YR EPS % annual rate,10-YR EPS % annual rate,2021 Total Return to Investors,5-YR Total Return to Investors,10-YR Total Return to Investors
16,Chevron,CVX,Petroleum Refining,www.chevron.com,San Ramon,CA,94583,"42,595",,"$162,465 ",27,71.6,"$15,625 ",,"$239,535 ","$139,067 ","$317,120 ",9.6,6.5,11.2,8.14,,,-4.9,45.9,4.5,5.2
17,Home Depot,HD,Specialty Retailers: Other,www.homedepot.com,Atlanta,GA,30339,"490,600",,"$151,157 ",18,14.4,"$16,433 ",27.7,"$71,876 ","($1,696)","$309,313 ",10.9,22.9,,15.53,30.1,19.2,20.2,59.4,28.2,28.5
18,Walgreens Boots Alliance,WBA,Food and Drug Stores,www.walgreensbootsalliance.com,Deerfield,IL,60015,"258,500",,"$148,579 ",16,6.5,"$2,542 ",457.5,"$81,285 ","$23,419 ","$38,671 ",1.7,3.1,10.9,2.93,463.5,-5.2,0,35.6,-5.9,7.5
19,Marathon Petroleum,MPC,Petroleum Refining,www.marathonpetroleum.com,Findlay,OH,45840,"17,700",,"$141,032 ",32,58.5,"$9,738 ",,"$85,373 ","$26,206 ","$47,758 ",6.9,11.4,37.2,15.24,,47.1,16.4,60.7,9,18.1
20,Anthem,ANTM,Health Care: Insurance and Managed Care,www.antheminc.com,Indianapolis,IN,46204,"98,200",,"$138,639 ",23,13.8,"$6,104 ",33.5,"$97,460 ","$36,060 ","$118,534 ",4.4,6.3,16.9,24.73,37.5,21.8,13.1,46,28,23.3
21,Kroger,KR,Food and Drug Stores,www.thekrogerco.com,Cincinnati,OH,45202,"420,000",,"$137,888 ",17,4.1,"$1,655 ",-36,"$49,086 ","$9,452 ","$41,496 ",1.2,3.4,17.5,2.17,-33.6,1.1,15.7,45.4,7.7,16.1
22,Ford Motor,F,Motor Vehicles and Parts,www.ford.com,Dearborn,MI,48126,"183,000",,"$136,341 ",21,7.2,"$17,937 ",,"$257,035 ","$48,519 ","$67,958 ",13.2,7,37,4.45,,31.1,-1,137.5,16.3,11.1
23,Verizon Communications,VZ,Telecommunications,www.verizon.com,New York,NY,10036,"118,400",,"$133,613 ",20,4.1,"$22,065 ",24,"$366,596 ","$81,790 ","$213,837 ",16.5,6,27,5.32,23.7,10.6,20.1,-7.4,4,7.3
24,JPMorgan Chase,JPM,Commercial Banks,www.jpmorganchase.com,New York,NY,10179,"271,025",,"$127,202 ",19,-1.8,"$48,334 ",65.9,"$3,743,567 ","$294,127 ","$402,527 ",38,1.3,16.4,15.36,73,19.9,13.1,27.7,15.9,20.1
25,General Motors,GM,Motor Vehicles and Parts,www.gm.com,Detroit,MI,48265,"157,000",,"$127,004 ",22,3.7,"$10,019 ",55.9,"$244,718 ","$59,744 ","$63,555 ",7.9,4.1,16.8,6.7,54.7,2.2,3.9,40.8,14.2,14.2
26,Centene,CNC,Health Care: Insurance and Managed Care,www.centene.com,St. Louis,MO,63105,"72,500",,"$125,982 ",24,13.4,"$1,347 ",-25.5,"$78,375 ","$26,795 ","$49,072 ",1.1,1.7,5,2.28,-26.9,5.9,15.7,37.3,23.9,23.6
27,Meta Platforms,FB,Internet Services and Retailing,www.fb.com,Menlo Park,CA,94025,"71,970",,"$117,929 ",34,37.2,"$39,370 ",35.1,"$165,987 ","$124,879 ","$605,251 ",33.4,23.7,31.5,13.77,36.5,31.6,,23.1,23.9,
28,Comcast,CMCSA,Telecommunications,www.comcastcorporation.com,Philadelphia,PA,19103,"189,000",,"$116,385 ",26,12.4,"$14,159 ",34.4,"$275,905 ","$96,092 ","$212,246 ",12.2,5.1,14.7,3.04,33.3,11.2,15,-2.2,9.9,17.7
29,Phillips 66,PSX,Petroleum Refining,www.phillips66.com,Houston,TX,77042,"14,000",,"$114,852 ",48,75.4,"$1,317 ",,"$55,594 ","$19,166 ","$41,561 ",1.1,2.4,6.9,2.97,,0.3,,8.6,0.4,
30,Valero Energy,VLO,Petroleum Refining,www.valero.com,San Antonio,TX,78249,"9,804",,"$108,332 ",53,80.2,$930 ,,"$57,888 ","$18,430 ","$41,572 ",0.9,1.6,5,2.27,,-14.4,-4.7,40,6.8,18.8
31,Dell Technologies,DELL,"Computers, Office Equipment",www.delltechnologies.com,Round Rock,TX,78682,"133,000",,"$106,995 ",28,13.6,"$5,563 ",71.2,"$92,735 ","($1,685)","$38,164 ",5.2,6,,7.02,66.4,,,51.5,,
32,Target,TGT,General Merchandisers,www.target.com,Minneapolis,MN,55403,"450,000",,"$106,005 ",30,13.3,"$6,946 ",59,"$53,811 ","$12,827 ","$98,134 ",6.6,12.9,54.2,14.1,63.2,24.6,12.7,33,29.7,19.5
33,Fannie Mae,FNMA,Diversified Financials,www.fanniemae.com,Washington,DC,20005,"7,400",,"$101,543 ",25,-4.6,"$22,176 ",87.9,"$4,229,166 ","$47,357 ",$909 ,21.8,0.5,46.8,0.01,300,0,,-65.7,-26.8,15.1
34,United Parcel Service,UPS,"Mail, Package and Freight Delivery",www.ups.com,Atlanta,GA,30328,"400,945",,"$97,287 ",35,15,"$12,890 ",859.8,"$69,405 ","$14,253 ","$186,817 ",13.2,18.6,90.4,14.68,853.2,30.6,14.4,30.1,16.8,14.7
35,Lowe's,LOW,Specialty Retailers: Other,www.lowes.com,Mooresville,NC,28117,"270,000",,"$96,250 ",31,7.4,"$8,442 ",44.7,"$44,640 ","($4,816)","$133,761 ",8.8,18.9,,12.04,55.4,28.3,23.7,63.3,31.8,28.3
36,Bank of America,BAC,Commercial Banks,www.bankofamerica.com,Charlotte,NC,28255,"208,248",,"$93,851 ",29,0.1,"$31,978 ",78.7,"$3,169,495 ","$270,066 ","$332,433 ",34.1,1,11.8,3.57,90.9,18.9,80,49.5,17.5,24.9
37,Johnson & Johnson,JNJ,Pharmaceuticals,www.jnj.com,New Brunswick,NJ,8933,"141,700",,"$93,775 ",36,13.6,"$20,878 ",41.9,"$182,018 ","$74,023 ","$466,047 ",22.3,11.5,28.2,7.81,41.7,5.7,8.4,11.5,11.1,13.2
38,Archer Daniels Midland,ADM,Food Production,www.adm.com,Chicago,IL,60601,"39,979",,"$85,249 ",51,32.5,"$2,709 ",52.9,"$56,136 ","$22,477 ","$50,769 ",3.2,4.8,12.1,4.79,52.1,17.3,4.3,37.3,11.4,12
39,FedEx,FDX,"Mail, Package and Freight Delivery",www.fedex.com,Memphis,TN,38120,"484,000",,"$83,959 ",45,21.3,"$5,231 ",306.8,"$82,777 ","$24,168 ","$59,971 ",6.2,6.3,21.6,19.45,296.9,24.5,15.6,0.7,8.2,13
40,Humana,HUM,Health Care: Insurance and Managed Care,www.humana.com,Louisville,KY,40202,"95,500",,"$83,064 ",41,7.7,"$2,933 ",-12.9,"$44,358 ","$16,080 ","$55,155 ",3.5,6.6,18.2,22.67,-10.4,41,10.4,13.8,18.6,19.1
41,Wells Fargo,WFC,Commercial Banks,www.wellsfargo.com,San Francisco,CA,94104,"247,848",,"$82,407 ",37,2.6,"$21,548 ",552.8,"$1,948,068 ","$187,606 ","$184,225 ",26.1,1.1,11.5,4.95,"1,107.30",4.4,5.8,61.2,0.2,8.8
42,State Farm Insurance,,Insurance: Property and Casualty (Mutual),www.statefarm.com,Bloomington,IL,61710,"53,586",,"$82,225 ",39,4.2,"$1,281 ",-65.7,"$325,349 ","$143,206 ",,1.6,0.4,0.9,,,,,,,
43,Pfizer,PFE,Pharmaceuticals,www.pfizer.com,New York,NY,10017,"79,000",,"$81,288 ",77,94,"$21,979 ",128.6,"$181,476 ","$77,201 ","$292,385 ",27,12.1,28.5,3.85,125.1,26.9,11.7,66.5,18.2,15.2
44,Citigroup,C,Commercial Banks,www.citigroup.com,New York,NY,10013,"221,768",,"$79,865 ",33,-10.1,"$21,952 ",98.7,"$2,291,413 ","$201,972 ","$105,330 ",27.5,1,10.9,10.14,114.8,16.5,10.8,0.8,3,10.3
45,PepsiCo,PEP,Food Consumer Products,www.pepsico.com,Purchase,NY,10577,"309,000",,"$79,474 ",44,12.9,"$7,618 ",7,"$92,377 ","$16,043 ","$231,528 ",9.6,8.2,47.5,5.49,7.2,4.7,3.1,20.5,14,13.4
